label_bucket,market_record_id,market_index,market_constraint,match_source,candidate_record_id,candidate_index,candidate_constraint,facility_score,contingency_score,voltage_match,voltage_near_match,token_overlap,zone_overlap,interface_keyword_match,embedding_similarity,rule_score,rule_score_v1,rule_score_v2,best_score,second_best_score,score_margin,ambiguity_flag,manual_label,review_notes
high_confidence,10000467244,3163,AMOS 765 KV AMOS 6 XFORMER,pano,12516,12515,AMOS     6        XFORMER   H  765 KV,0.8,1,1,1,0.909091,0.75,0,,0.892955,0.875,0.892955,0.892955,0.694935,0.19802,FALSE,1,
high_confidence,10016430043,2073,BEAV DUQ138 KV  BEA-CRE8,pano,9521,9520,BEAV DUQ138 KV  BEA-VAL,0.75,1,1,1,0.857143,0.6,0,,0.860357,0.835,0.860357,0.860357,0.793864,0.066493,FALSE,1,
high_confidence,10004183139,2193,BAGLEY  230 KV  BAG-RAP5,pano,5276,5275,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5),0.75,1,1,1,0.875,0.545455,0,,0.858523,0.829545,0.858523,0.858523,0.748333,0.11019,FALSE,1,
high_confidence,10000570017,1647,FOURRIVR 230 KV FOURRIVR-STJOHNS4 256A,pano,1733,1732,FOURRIVR 230KV - STJOHNS4 230KV (FOURRIVR 230 KV 256A),0.75,1,1,1,0.857143,0.571429,0,,0.858929,0.832143,0.858929,0.858929,0.678571,0.180358,FALSE,1,
high_confidence,10000566176,1051,SEWARD 115 KV SEWARD-TOWER51 H1H2 1097,pano,5318,5317,SEWARD 115KV - TOWER51 115KV (SEWARD 115 KV SEW-TOW),0.8,1,1,1,0.888889,0.666667,0,,0.887778,0.866667,0.887778,0.887778,0.707436,0.180342,FALSE,1,
high_confidence,10000575840,1229,3ROCKY 115 KV 3ROCKY -BATTLEBO 123A,pano,3132,3131,3ROCKY 115KV - BATTLEBO 115KV (3ROCKY 115 KV 123A),0.857143,1,1,1,0.923077,0.571429,0,,0.91044,0.885714,0.91044,0.91044,0.802747,0.107693,FALSE,1,
high_confidence,10000568966,4398,GEORGEWA 138 KV GEORGEWA-NATRIUM2,pano,4393,4392,GEORGEWA 138KV - NATRIUM2 138KV (GEORGEWA 138 KV GEO-NAT1),0.8,1,1,1,0.875,0.666667,0,,0.887083,0.866667,0.887083,0.887083,0.69125,0.195833,FALSE,1,
high_confidence,10000566135,1920,KEYSTONE 230 KV KEYSTONE-SHELOCTA KHC 2014,pano,6024,6023,KEYSTONE 230KV - SHELOCTA 230KV (KEYSTONE 230 KV KEY-SHE),0.727273,1,1,1,0.8,0.769231,0,,0.855734,0.840559,0.855734,0.855734,0.753234,0.1025,FALSE,1,
high_confidence,10016776077,3550,GREYSPT 115 KV  GRE-HARM,pano,4684,4683,HARMONYV 115KV - GREYSPT 115KV (GREYSPT 115 KV GRE-HARM),0.75,1,1,1,0.857143,0.666667,0,,0.86369,0.841667,0.86369,0.86369,0.649405,0.214285,FALSE,1,
high_confidence,10002864514,2776,CARL PN-GARDNERS 1049 B 115 KV,pano,1908,1907,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR),0.909091,1,1,1,0.941176,0.8,0,,0.94615,0.934545,0.94615,0.94615,0.840267,0.105883,FALSE,1,
high_confidence,10002892174,4174,BERGEN  138 KV  BER-FAIM,dayzer,533209,8122,BERGEN_138 KV_BER-FAIM:345/138.Bergen.345-1,1,0,1,1,0.666667,0.285714,0,,0.866667,0.678571,0.866667,0.866667,0.767143,0.099524,FALSE,1,
high_confidence,10016017601,4446,ELIMA   138 KV  ELI-HAV1,pano,5498,5497,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1),0.75,1,1,1,0.857143,0.6,0,,0.860357,0.835,0.860357,0.860357,0.646071,0.214286,FALSE,1,
high_confidence,10016883528,318,MAROA-E GOOSECREEK 345KV L/O FARADAY-KANSAS 345KV,pano,4226,4225,Maroa-E GooseCreek 345kV l/o Faraday-Kansas 345kV,1,1,1,1,1,0,0,,0.95,0.9,0.95,0.95,0.728571,0.221429,FALSE,1,
high_confidence,10000566592,1070,KEENEY 230 KV KEENEY-STEELE 23009,dayzer,529521,5607,KEENEY_230 KV_KEE-STE9:Keeney-Steele.23001,1,0,1,1,0.727273,0,0,,0.872727,0.65,0.872727,0.872727,0.692045,0.180682,FALSE,1,
high_confidence,10003892864,4408,CENTER-WESTPORT 110552 A 115 KV,dayzer,521161,4346,CENTER 115 KV CEN-WES2 Westport-Center (110551) 115 KV line,1,0,1,1,0.666667,0.545455,0,,0.866667,0.704545,0.866667,0.866667,0.727143,0.139524,FALSE,1,
